nombre_teatro,nombre_sala,fecha_proyeccion,numero_consecutivo,hora_inicio,fila_asiento,silla_asiento,edad_asistente,sexo_asistente
Teatro Centro,Sala 1,2026-03-01,1,14:00,1,1,25,M
Teatro Centro,Sala 1,2026-03-01,1,14:00,1,1,30,F
Teatro Centro,Sala 1,2026-03-01,1,14:00,1,2,18,F
Teatro Centro,Sala 1,2026-03-01,1,14:00,4,5,19,M
Teatro Centro,Sala 1,2026-03-01,1,14:00,4,6,22,M
Teatro Centro,Sala 1,2026-03-01,2,18:00,4,5,34,F
Teatro Centro,Sala 1,2026-03-01,2,18:00,5,5,40,M
Teatro Centro,Sala 1,2026-03-01,2,18:00,8,10,27,F
Teatro Centro,Sala 1,2026-03-02,1,15:00,1,1,15,M
Teatro Centro,Sala 1,2026-03-02,1,15:00,2,3,50,F
Teatro Centro,Sala 1,2026-03-02,1,15:00,2,4,48,M
Teatro Centro,Sala 1,2026-03-02,1,15:00,8,5,22,M
Teatro Centro,Sala 1,2026-03-03,1,16:30,3,3,12,F
Teatro Centro,Sala 1,2026-03-03,1,16:30,3,4,14,M
Teatro Centro,Sala 1,2026-03-03,1,16:30,6,7,29,F
Teatro Centro,Sala 1,2026-03-03,2,20:00,4,5,31,M
Teatro Centro,Sala 1,2026-03-04,1,14:00,1,1,65,F
Teatro Centro,Sala 1,2026-03-04,1,14:00,7,8,21,F
Teatro Centro,Sala 1,2026-03-04,1,14:00,7,9,23,M
Teatro Centro,Sala 2,2026-03-01,1,13:00,10,12,28,M
Teatro Centro,Sala 2,2026-03-01,1,13:00,1,1,19,F
Teatro Centro,Sala 2,2026-03-01,2,16:00,5,6,35,M
Teatro Centro,Sala 2,2026-03-02,1,19:00,6,6,42,F
Teatro Centro,Sala 2,2026-03-02,1,19:00,10,5,26,F
Teatro Norte,Sala Unica,2026-03-01,1,20:00,12,14,33,F
Teatro Norte,Sala Unica,2026-03-01,1,20:00,1,1,20,M
Teatro Norte,Sala Unica,2026-03-02,1,18:00,6,7,55,M
Teatro Norte,Sala Unica,2026-03-02,1,18:00,6,8,52,F
Teatro Norte,Sala VIP,2026-03-01,1,21:00,4,4,29,M
Teatro Prado,Sala Azul,2026-03-01,1,15:00,5,5,17,F
Teatro Prado,Sala Azul,2026-03-01,1,15:00,10,10,38,M
Teatro Prado,Sala Roja,2026-03-01,1,17:00,8,10,24,M
